,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,641
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,666
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,589
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,953
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,942
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,607
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,791
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,511
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,763
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,597
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,822
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,986
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,512
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,749
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,882
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,974
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,899
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,862
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,760
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,987
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,751
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,771
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,984
23,Asian,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,812
24,Asian,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,851
